prod_feat.0,prod_feat.1
interface,executive
Diverse,Business-focused
mission-critical,conglomeration
multi-state,needs-based
optimal,intranet
time-frame,Phased
Expanded,demand-driven
object-oriented,installation
Reactive,Total
Future-proofed,Graphic Interface
Multi-channelled,solution
well-modulated,human-resource
portal,system engine
discrete,Multi-lateral
standardization,adapter
6th generation,6th generation
attitude-oriented,discrete
impactful,product
Fundamental,Fully-configurable
Front-line,Optimized
Expanded,structure
neural-net,upward-trending
transitional,Decentralized
Enterprise-wide,Visionary
forecast,emulation
Fundamental,real-time
mission-critical,explicit
firmware,contingency
web-enabled,incremental
optimal,artificial intelligence
interface,global
high-level,encompassing
Up-sized,client-server
approach,task-force
heuristic,Switchable
composite,project
stable,Inverse
tertiary,eco-centric
flexibility,approach
Persevering,groupware
Progressive,intangible
product,contextually-based
definition,multi-tasking
bottom-line,policy
impactful,benchmark
User-friendly,Switchable
user-facing,capability
coherent,upward-trending
service-desk,heuristic
instruction set,Future-proofed
Switchable,artificial intelligence
Distributed,background
collaboration,contingency
User-centric,algorithm
background,scalable
solution,Balanced
client-server,intranet
value-added,leading edge
global,optimizing
systemic,Phased
matrices,asynchronous
bottom-line,emulation
Phased,challenge
holistic,Persistent
zero tolerance,middleware
grid-enabled,client-driven
open architecture,software
support,tertiary
budgetary management,demand-driven
Networked,encoding
Upgradable,mobile
local,Seamless
foreground,Fundamental
Reverse-engineered,encompassing
Business-focused,Down-sized
data-warehouse,algorithm
User-friendly,access
application,multi-state
parallelism,web-enabled
Quality-focused,forecast
zero defect,adapter
Distributed,Profound
installation,4th generation
tangible,Switchable
Decentralized,Innovative
Upgradable,Focused
data-warehouse,success
conglomeration,challenge
methodology,Customizable
explicit,service-desk
object-oriented,internet solution
Persistent,systematic
Proactive,website
interface,Virtual
Extended,architecture
motivating,methodical
composite,neural-net
budgetary management,matrix
strategy,executive
contextually-based,bifurcated
conglomeration,Switchable
capability,archive
Adaptive,Automated
Profound,Digitized
bandwidth-monitored,multi-tasking
zero tolerance,project
tangible,software
core,open system
next generation,Front-line
hardware,multimedia
local,Cross-platform
asynchronous,Object-based
Stand-alone,well-modulated
Down-sized,Assimilated
client-server,explicit
Monitored,global
Streamlined,throughput
Horizontal,functionalities
paradigm,time-frame
Face to face,extranet
attitude,task-force
access,knowledge base
Switchable,Intuitive
orchestration,Extended
Automated,incremental
moratorium,Re-contextualized
static,Distributed
open architecture,Organic
Synergistic,Horizontal
Reverse-engineered,Open-architected
scalable,asymmetric
info-mediaries,solution
incremental,Business-focused
Multi-layered,asynchronous
secondary,empowering
real-time,migration
Profit-focused,Ameliorated
asynchronous,flexibility
Realigned,Up-sized
Self-enabling,Reduced
superstructure,success
3rd generation,upward-trending
success,superstructure
didactic,data-warehouse
Phased,Streamlined
Customizable,bi-directional
Diverse,tangible
client-driven,collaboration
Organized,web-enabled
Profound,Innovative
Configurable,challenge
fault-tolerant,initiative
hierarchy,policy
web-enabled,Centralized
frame,optimizing
architecture,4th generation
actuating,focus group
Fully-configurable,support
directional,Networked
impactful,portal
background,De-engineered
info-mediaries,workforce
explicit,encoding
web-enabled,Up-sized
fresh-thinking,asymmetric
matrices,leverage
Future-proofed,interactive
3rd generation,function
Open-source,didactic
foreground,encompassing
Open-source,access
system engine,flexibility
Configurable,knowledge user
User-centric,hierarchy
Future-proofed,Expanded
model,Universal
Seamless,budgetary management
archive,well-modulated
explicit,contextually-based
Fundamental,well-modulated
Monitored,4th generation
productivity,product
Total,transitional
composite,24 hour
Re-engineered,multi-state
full-range,foreground
infrastructure,Upgradable
Adaptive,Reactive
Customer-focused,clear-thinking
Synchronised,Robust
local,De-engineered
Phased,coherent
Cross-platform,ability
fresh-thinking,emulation
monitoring,Down-sized
application,Diverse
Fundamental,non-volatile
capability,Implemented
Function-based,Exclusive
Ergonomic,firmware
zero administration,time-frame
Programmable,User-friendly
explicit,object-oriented
Customizable,Optimized
ability,success
time-frame,composite
Virtual,bottom-line
customer loyalty,Object-based
uniform,Open-source
task-force,Function-based
neural-net,Front-line
radical,Right-sized
Versatile,Monitored
application,Robust
Stand-alone,Decentralized
Public-key,contingency
focus group,background
budgetary management,disintermediate
open system,fault-tolerant
fault-tolerant,holistic
initiative,local area network
Cloned,transitional
discrete,24/7
tangible,De-engineered
incremental,User-centric
global,secured line
throughput,Multi-channelled
Synchronised,Configurable
open architecture,client-server
solution,Automated
Integrated,value-added
website,methodical
4th generation,executive
portal,paradigm
model,Progressive
Extended,Object-based
analyzer,national
Right-sized,Persevering
initiative,background
toolset,installation
Integrated,intranet
Fully-configurable,encoding
Exclusive,multi-state
discrete,dedicated
foreground,Universal
access,fault-tolerant
even-keeled,zero defect
Integrated,architecture
dynamic,Virtual
analyzer,paradigm
alliance,demand-driven
Persistent,architecture
intermediate,responsive
secondary,capacity
archive,full-range
Reverse-engineered,encryption
